node_number,X,Y,Z
472,-82.6529455,-77.6904321,36.54627725
473,-75.27434659,-83.88181172,36.54627725
474,-67.89574768,-90.07319135,36.54627725
475,-60.51714876,-96.26457097,36.54627725
476,-53.13854985,-102.4559506,36.54627725
477,-45.75995094,-108.6473302,36.54627725
478,-38.38135203,-114.8387098,36.54627725
479,-31.00275312,-121.0300895,36.54627725
480,-23.62415421,-127.2214691,36.54627725
481,-16.2455553,-133.4128487,36.54627725
482,-8.866956387,-139.6042283,36.54627725
483,-1.488357476,-145.795608,36.54627725
484,5.890241435,-151.9869876,36.54627725
485,13.26884035,-158.1783672,36.54627725
486,20.64743926,-164.3697468,36.54627725
487,28.02603817,-170.5611265,36.54627725
488,35.40463708,-176.7525061,36.54627725
489,42.78323599,-182.9438857,36.54627725
490,52.28675094,-186.602889,38.16874769
491,-100.3398084,-68.79911168,32
492,-99.40783208,-67.68842561,35.10420769
493,-87.42550667,-79.63549747,32
494,-93.88265751,-74.21730458,32
495,-75.34020179,-89.78695614,31.90076747
496,-81.38201652,-84.71036324,31.96554338
497,47.22690911,-192.6329737,31.90076747
498,39.56646468,-186.2050976,31.90076747
499,31.90602025,-179.7772215,31.90076747
500,24.24557582,-173.3493454,31.90076747
501,16.58513139,-166.9214693,31.90076747
502,8.924686958,-160.4935932,31.90076747
503,1.264242527,-154.0657171,31.90076747
504,-6.396201904,-147.637841,31.90076747
505,-14.05664634,-141.2099649,31.90076747
506,-21.71709077,-134.7820888,31.90076747
507,-29.3775352,-128.3542127,31.90076747
508,-37.03797963,-121.9263366,31.90076747
509,-44.69842406,-115.4984605,31.90076747
510,-52.35886849,-109.0705844,31.90076747
511,-60.01931292,-102.6427083,31.90076747
512,-67.67975735,-96.21483224,31.90076747
513,48.14160342,-191.5428835,35.06887568
514,-82.11884561,-86.83214753,7.975198092
515,-79.86688187,-87.81093535,15.95039618
516,-77.61491813,-88.78972316,23.92559428
517,46.77833127,-193.167568,23.9255756
518,46.32975343,-193.7021622,15.95038374
519,45.88117558,-194.2367565,7.975191868
520,64.07343842,-172.5560619,20
521,61.65327751,-175.4402973,12.18168518
522,56.21522533,-181.9211156,10.25072088
523,51.85424607,-187.1183283,15.66116261
524,51.85424607,-187.1183283,24.33883739
525,56.21522533,-181.9211156,29.74927912
526,61.65327751,-175.4402973,27.81831482
527,64.07343842,-172.5560619,-20
528,61.65327751,-175.4402973,-27.81831482
529,56.21522533,-181.9211156,-29.74927912
530,51.85424607,-187.1183283,-24.33883739
531,51.85424607,-187.1183283,-15.66116261
532,56.21522533,-181.9211156,-10.25072088
533,61.65327751,-175.4402973,-12.18168518
534,66.96598266,-169.1088619,-30.48
535,66.96598266,-169.1088619,-21.36
536,66.96598266,-169.1088619,-12.24
537,66.96598266,-169.1088619,-3.12
538,66.96598266,-169.1088619,6
539,66.96598266,-169.1088619,15.12
540,66.96598266,-169.1088619,24.24
541,66.96598266,-169.1088619,33.36
542,66.96598266,-169.1088619,42.48
543,48.80776958,107.6411678,-35.60375949
544,195.7362339,-15.64645239,-35.60375949
545,56.1541928,101.4767868,-35.60375949
546,63.50061601,95.31240578,-35.60375949
547,70.84703922,89.14802477,-35.60375949
548,78.19346244,82.98364377,-35.60375949
549,85.53988565,76.81926276,-35.60375949
550,92.88630887,70.65488175,-35.60375949
551,100.2327321,64.49050074,-35.60375949
552,107.5791553,58.32611973,-35.60375949
553,114.9255785,52.16173872,-35.60375949
554,122.2720017,45.99735771,-35.60375949
555,129.6184249,39.8329767,-35.60375949
556,136.9648482,33.66859569,-35.60375949
557,144.3112714,27.50421468,-35.60375949
558,151.6576946,21.33983367,-35.60375949
559,159.0041178,15.17545266,-35.60375949
560,166.350541,9.011071651,-35.60375949
561,173.6969642,2.846690641,-35.60375949
562,181.0433874,-3.317690368,-35.60375949
563,188.3898107,-9.482071378,-35.60375949
564,50.97358765,110.2222893,-32
565,50.29033828,109.4080244,-34.38320809
566,197.9020519,-13.06533092,-32
567,58.32001087,104.0579083,-32
568,65.66643408,97.89352725,-32
569,73.0128573,91.72914624,-32
570,80.35928051,85.56476523,-32
571,87.70570372,79.40038422,-32
572,95.05212694,73.23600321,-32
573,102.3985502,67.0716222,-32
574,109.7449734,60.90724119,-32
575,117.0913966,54.74286018,-32
576,124.4378198,48.57847917,-32
577,131.784243,42.41409817,-32
578,139.1306662,36.24971716,-32
579,146.4770894,30.08533615,-32
580,153.8235127,23.92095514,-32
581,161.1699359,17.75657413,-32
582,168.5163591,11.59219312,-32
583,175.8627823,5.427812108,-32
584,183.2092055,-0.736568902,-32
585,190.5556287,-6.900949911,-32
586,197.2188026,-13.87959582,-34.38320809
587,52.77315978,112.3669358,0
588,51.42348068,110.7584509,-24
589,51.87337372,111.2946125,-16
590,52.32326675,111.8307742,-8
591,199.7016241,-10.92068438,-6.94E-15
592,60.11958299,106.2025548,-3.47E-16
593,67.46600621,100.0381738,-6.94E-16
594,74.81242942,93.87379279,-1.04E-15
595,82.15885263,87.70941178,-1.39E-15
596,89.50527585,81.54503077,-1.73E-15
597,96.85169906,75.38064976,-2.08E-15
598,104.1981223,69.21626875,-2.43E-15
599,111.5445455,63.05188774,-2.78E-15
600,118.8909687,56.88750673,-3.12E-15
601,126.2373919,50.72312572,-3.47E-15
602,133.5838151,44.55874471,-3.82E-15
603,140.9302383,38.3943637,-4.16E-15
604,148.2766616,32.22998269,-4.51E-15
605,155.6230848,26.06560168,-4.86E-15
606,162.969508,19.90122067,-5.20E-15
607,170.3159312,13.73683966,-5.55E-15
608,177.6623544,7.572458653,-5.90E-15
609,185.0087776,1.408077643,-6.25E-15
610,192.3552008,-4.756303366,-6.59E-15
611,198.351945,-12.52916928,-24
612,198.801838,-11.99300765,-16
613,199.251731,-11.45684601,-8
614,50.97358765,110.2222893,32
615,52.32326675,111.8307742,8
616,51.87337372,111.2946125,16
617,51.42348068,110.7584509,24
618,197.9020519,-13.06533092,32
619,58.32001087,104.0579083,32
620,65.66643408,97.89352725,32
621,73.0128573,91.72914624,32
622,80.35928051,85.56476523,32
623,87.70570372,79.40038422,32
624,95.05212694,73.23600321,32
625,102.3985502,67.0716222,32
626,109.7449734,60.90724119,32
627,117.8816277,54.07977757,32
628,124.4378198,48.57847917,32
629,131.784243,42.41409817,32
630,139.1306662,36.24971716,32
631,146.4770894,30.08533615,32
632,153.8235127,23.92095514,32
633,161.1699359,17.75657413,32
634,168.5163591,11.59219312,32
635,175.8627823,5.427812108,32
636,183.2092055,-0.736568902,32
637,190.5556287,-6.900949911,32
638,199.251731,-11.45684601,8
639,198.801838,-11.99300765,16
640,198.351945,-12.52916928,24
641,48.04392261,106.7308504,36.54627725
642,50.04161138,109.1116032,35.10420769
643,194.9723869,-16.55676976,36.54627725
644,55.39034583,100.5664694,36.54627725
645,62.73676904,94.40208841,36.54627725
646,70.08319226,88.2377074,36.54627725
647,77.42961547,82.0733264,36.54627725
648,84.77603868,75.90894539,36.54627725
649,92.1224619,69.74456438,36.54627725
650,99.46888511,63.58018337,36.54627725
651,106.8153083,57.41580236,36.54627725
652,114.1617315,51.25142135,36.54627725
653,121.5081548,45.08704034,36.54627725
